user_id,item_id,category_id,hist_item_ids,label
455,100,9,153|194|53|156|53|144|158|90|148|55|16,0
49,26,5,145|62|162|116|110|36|93,0
429,99,2,62|126|29|117|19|130|126|17|152|84|158,0
21,38,3,136|21|36|118|159,0
86,198,4,123|119|59|5|31|192|84|97|94,1
392,56,6,89|188|33|115|109|95|162|54,0
273,105,8,88|73|166|2|180|109|29|61|111|64|22|134|135,1
122,132,1,146|55|9|132|171|195|44|44|6|32|116,1
155,166,4,162|41|191|127|59|125|104,0
496,188,3,33|60|88,0
76,179,6,131|33,1
447,94,9,47|100|83|83|148,0
48,76,4,200|65|21|52,0
446,31,3,36|144|175|9|40|57|63|200|156|65|195|100,1
251,187,4,56,0
66,194,10,186|139,0
209,40,2,177|22|170|177|40|99|40|117|186|22|82|197|71,1
255,133,6,192|193|185|100|5,0
75,127,8,22|150|84|2|194|34|120|37|187|148|161|87|94,0
424,4,5,26|53|163|81|46|64|108|162|120|184,1
434,58,8,186|86|23|131|193|174|55,0
227,54,5,164|163|184|26,1
238,119,2,40|73|71|186|40|186,1
461,32,1,92|24|109|5|142,0
28,167,2,104,0
341,166,4,148|176|159|171|108,0
22,178,10,129|115|190|84,1
4,75,5,105|19|167|22|11|81|185|138|20|168|169|161|181|48,0
490,116,1,132|149|146|32|149|116|55|116|195|169|169|103,1
344,128,6,54|87|96|34,0
209,68,1,148|66|87|76|37|138,0
397,190,7,184|155|66|93|108|193|170|98|131|41|161,0
384,127,8,42|1,1
102,101,2,191|123|128|20|125|146|117|17|105|188|145|28|192,0
480,82,2,197|177|186|186|22|57|167|119|17,1
48,34,9,2|115|96,0
233,146,1,116|103|44|126|32|171|169|32|149|32|137|9,1
365,84,7,161|155|79|155|190|174|161|129|74|174|84|121|79|79,1
79,18,9,148|77|26|146|36|111|190|188|73|157|123|96|28|76|131,0
494,170,2,55|171|176|128|25|25|96|118|7|138|109|3|20|91|145,0
413,194,10,3|61|104|184|148|157|109,0
56,9,1,156|168|9|22|134|200|5|134|28|131|125|19|137|180,1
123,49,8,14|134|24|1|172|42|106,1
3,2,7,7|192|174,1
144,170,2,22|197|186|40,1
387,164,5,92|41|23|25|140|101|108|150|110|127|18|171|90,0
78,11,10,20|142|105,0
491,102,9,5,0
22,92,9,75|19|155|37|76|197|119|92|109|157|51,0
319,90,5,108|54|75,1
290,52,4,62|52|93|135|187|87|198|135|52|52,1
474,56,6,61|158,0
306,195,1,169|44|190|118|121|64|185,0
19,96,3,20|115|71|114|118|141|110|130,0
309,64,5,158|40|87|106,0
314,193,4,138|196|52|198|196|135|187|135,0
123,63,10,168|9|24|12|15|174|169|165,0
28,114,6,147|63|14|149|181|3,0
354,172,8,75|48|121|134|24|102|73,0
39,200,4,155|155|138|29|142|151|78,0
167,3,5,42|94|33|143|34|84|168|185|198|192|112,0
401,199,10,29|169|79|66|17|168|152|9|87|96,1
235,62,4,198|21|168,1
117,39,7,145|99|3|17|54|49|169|169,0
279,130,6,130|128|16|131|78|131|115,1
466,169,1,103|137|169|68|116,0
153,118,3,171|117,0
250,104,8,200|184,0
196,36,9,68,1
304,186,2,90|29|120|114|2|84|56|35|141|106|127,0
402,125,6,114|128|158|115|130|56|179|128|133|114|157|16|20|115,1
367,130,6,112|179|16|179|20|56|133|131|179,1
375,1,8,102|156,0
438,198,4,93|65|87|43|193|168|43|65|138|138|193|67|198,0
120,8,3,75,1
466,136,7,155|2|183|161|161|97|174|84|7|190|59|25,0
311,89,9,53,1
339,152,10,152|160|60|60|80|180|140,0
175,181,2,90|80|23|55|110,0
444,136,7,90|144,0
267,200,4,60|107|28|24|115|38|200|172|141|147,0
298,100,9,69|27|21|74|17|14|71|41|111|4|61|91|193|127,0
225,85,8,173|85|88|176|42|50|172|58|41|88|49|172|172|42,0
265,44,1,6|55|169|44|55|55|35|32|68,1
438,13,8,104|127|105|61|159|70|173|176|104,0
338,135,4,93|62|62|138|76|43|93|168|76|200|189|135|198|93,1
470,192,7,21|11|50|115|14|197|92|53|104|159|63|10,1
26,128,6,180|140|90|42|196|61,0
116,84,7,1|83|173,1
56,102,9,98|83|87|111|157,0
265,53,5,65|183|96|173,0
342,149,1,103|6|103|103|169,1
356,121,7,5,1
460,187,4,31|23|142,0
311,18,9,138|170|99|1|57|171|107|124|92,0
82,200,4,50|184|112|91|194|121|182|197|16|73|147|163|30,0
160,23,10,104|83|128|64|165|16|173|6|148|70,1
352,34,9,102|37|124|145|47|27|148|27|94|36,1
64,135,4,159|102|25|199|53|1|185|4|111|199|116,1
293,115,6,112|115|20|128|28|33|130|10|114|125|20|56|78|128,0
95,4,5,120,0
420,51,2,123|106|80|151|136|107|146|153|114|54,0
380,30,5,189|3|8|160|72|105|86,1
204,155,7,33|137|94|30|72|193|54|36|137|40|184|172|197|183,0
172,94,9,102|100|83|83|91|18|124|100|102|92|124|165|92|89,0
53,140,10,140|23|11|60|80|178|80|11|60|199|199|66|180,0
360,126,1,70|122|115|117|77|82,0
288,188,3,94|68|76|73|79|154|27|67,0
82,10,6,131|33|28|16|114|131,0
172,56,6,41|96|105|12|94|91|52|26,0
23,18,9,100|91|148|27|36|36|27|37|37|124|37|148|124|150|18,0
493,71,2,83|28|189|61|45|111|86|20|164|170|149|124|81|109|105,0
83,91,9,83|94|91,1
368,170,2,23|153|7|155|9|42,0
205,25,7,180|77|53|36,0
424,131,6,38|50|176|143|27|171|115,0
438,107,7,67|49|60|33|8|189|15|178,0
165,104,8,99|79|108|166|87,1
180,26,5,191|167|191,0
187,111,8,42|175|7|77|24|32|184|1|65|184|122|15|94|195|81,0
331,38,3,188|151|147|96|110|151|38|151|153|142|95|118|8,1
29,159,8,105|105|127|134|24|24|173|85|61|42,1
320,111,8,176|13|80|92|160|26|87|31|158|127|100|79|31|185|130,0
160,144,10,152|144|23|140|152|199|140,1
172,19,5,113|4|185|81|54|175|154|154|54|185|81,1
266,35,1,137|68|146|146|86,1
202,30,5,146|182|67|84|38|130|81|69|140|82|93,1
221,166,4,52|168,1
153,4,5,66|33|156|188|173|151|50|183|134|35|26|175|56|154,0
70,57,2,170|51|197|117|117|167|170|197|119|119|170,1
128,13,8,85|58|61|106|88,1
12,141,3,96|110|38|188|151|151|95|95|151|118|142|110|110|141,1
405,49,8,172|49|134|173|176|1|111,0
117,153,3,97|140,0
121,127,8,93|118|73|82|58,0
110,59,7,74|2|8|68|91|160|27|168|47|28|140|155|121,0
58,91,9,190|31|6|85|81|124|176|187|58|197|127|14|188|28|118,0
396,96,3,110|31|142|151|141|38|38|96|118|118|77|118|95|142,1
1,199,10,200,1
342,146,1,196|60,0
231,42,8,111,0
177,137,1,171|86|86|55|44|146|137|149|35|103|35|171|44,0
72,184,5,62|107,1
256,11,10,1|171|155|20,0
18,150,9,6|30|14|173|54|165|111|108|91|164|9|19|85,0
198,118,3,38|118|118|147,1
155,74,7,44|130|151|193|24|152|18,0
82,36,9,165,0
427,28,6,131|184|79|37|176|191|196|192|175|91|39|124|45|95|132,0
126,147,3,114,0
186,143,5,6|187|121|75|98|124|53,0
130,152,10,166|32,0
193,27,9,91|113|128|136|169|14|73|1,1
300,179,6,130|168|179|20|94|167|96|169|188|95|12|69,0
108,93,4,21|65|196,1
50,21,4,16|27|131|173|37|65|69,1
181,106,8,186|123|84|42|161|178,0
350,20,6,22|92|124|82|25|40|171|193|151|21|164|139,0
264,89,9,13,0
162,18,9,150|34|145|165|47|91|92|91|37,1
486,162,5,95|26|131|65|44|39,1
400,174,7,118,0
220,87,4,168|193|198|187|87|189|76|67|93|200|138|87|93,1
176,111,8,65|15|76|107|19|62,0
84,194,10,157|113|152|152|107|52,0
486,186,2,119|197|17,0
424,79,7,185|196,1
3,188,3,17|6|68|149|31|171|48|100|41|94|91,0
3,188,3,188|96|151|118|8,1
136,87,4,43|108|49|194|16|193|159|172|171|38|187|119,0
290,75,5,19|90,1
241,128,6,158|112|158|78|20|112|20|20|157|133|28|157|16|56|130,0
152,14,8,102,0
232,116,1,32|68|149,1
310,117,2,187|43|90|28|115|38|99,1
173,103,1,45|162|83|195|50|17|117|131|199|175|177|127|72|86|27,1
216,41,8,70|173|106|12|24|109|88|42|85,1
452,63,10,194|23|63|11|11|180|199|45|160|144|23|194|194|144|160,1
199,198,4,67,1
156,103,1,35|9|137|169|32,0
354,26,5,69|184|123|26|182|163|54|108|72|108|184|182|46|185|75,1
353,92,9,56|73|39|79|23|18|145,0
39,145,9,145|94|18|5|37|27|148,0
103,164,5,133|188|175|196,1
282,10,6,31|30|40|30|114|73,0
457,133,6,102|161|173|124|131|173|125|190|26|70,1
236,46,5,75|164|69|64|162|26|108,1
309,65,4,168|62|93,1
384,145,9,34|124|34|145|27|94|91|92|91|5|91|150|89|37,1
498,103,1,195|14|147|119|49|46|144|128,1
299,197,2,99,1
359,13,8,134|111|127|172|61|61|105|24|159|127|105|42|50,1
390,135,4,193|120|86|126|163|74|102|10|148|98|92|107|44|120,1
373,78,6,20|131|33,1
448,113,5,163|29,1
198,59,7,121|155|161|39|155,1
376,72,5,96|78|55|50|62|77|26|142|111|166|142|30,0
35,49,8,13|134|24|61|61|134|42|41|49|50|15|15,1
172,79,7,59|48|79|48|74|84|39|2|98|155|74,1
451,48,7,161|84|107|129|129|2|183|129|192,1
221,178,10,194|66|80|178|23|160|11|144|140|140|140|140|80,1
382,111,8,168|143|46|40|159|14|170|155|199|134,0
437,33,6,150|54|165|122|126,0
470,199,10,44|34|45|40|150|12|126|190|154,0
202,1,8,148|36|46|163|196|53|185|183|154|29|60,0
339,85,8,69|193|113|53,0
494,87,4,65|166|189|138|87|189|193|193|65|168|21,1
182,199,10,8|180|104|146|162|154|18|29|80|68|150|32|75|48,1
95,113,5,149|173|106|129|148|139|27,0
492,131,6,16|33|179|131|16|131|179,1
49,27,9,81|93|48|58,0
106,182,5,161|121|55|24|51|56|28|5|189,0
465,45,10,170|52|8|18|33|158|128,0
81,43,4,198|65|196|43|65|135,0
26,109,8,85|111|104|14|14,0
391,22,2,12|176|38|106|197|149|10|165|33|150|125,1
144,198,4,135|102|102|117,0
417,158,6,183|155|148|58|136|51|105|160|38|68|160|91|193|2|145,0
79,197,2,73|156|101|22|197|57,1
47,124,9,104|158|121|77|123|196|97|177|156|61|50|155|42|68,0
148,132,1,166|92|45|184|143|65|113|122|100|95|12|91|70|164|174,1
421,80,10,190|72|150|108|52|105|174,0
368,178,10,44|82|156|160|50,1
204,6,1,195|9|132|68|146|171,1
266,25,7,79|48|2|190|183|174|7,1
175,26,5,29|182|139,1
461,166,4,27|19|38,1
61,13,8,7|27|106|166|147|117|18|155|8|127|82|177|62|128|88,0
262,83,9,34|94|14|34|85|160|157,1
131,152,10,160|63|199|160,0
441,16,6,154|151|44|91|138|131|182|23|60|197|114|50|58|68,0
278,90,5,182|26|64|143|120|139|113|139|120|19,1
26,82,2,18|67|89|167|149|155|48,0
232,110,3,153,1
42,124,9,186|192|106|129|121|200|148|25|15|82|104,0
258,185,5,99|194|193|103|91|118,0
91,29,5,130|87,0
270,147,3,7|196|31|22|189|194|34|81|126|40|66,0
155,83,9,152|50|182|189|101,0
247,170,2,200|146|58|70|51|137,0
132,151,3,31|118|95|141|147|153|96|188|95|38|96|118|142|151|77,1
152,49,8,172|172|104|127|173|41|1|49|105|88|13|88|15|85|88,1
319,136,7,85|67|106|26|87|38|107|171|198|90|12|46,0
493,111,8,5|23|36,0
446,56,6,13|185|117|162|5|5|170|21|32|104|122,0
338,89,9,18|94|148|27|5|92,0
90,68,1,180|41|162|132|29|145|40|120|192,0
477,112,6,155|72|149|45|147,0
23,97,7,66|88|109|129|50|123|127|156|105|163|45,1
356,173,8,109|41|15|12|159|24|88|61,1
42,36,9,145|89|34,0
267,4,5,182|90|3|175|162,0
99,182,5,195|158|16|14,0
425,188,3,128|115|101|31|133|148|142|16|141|146,0
262,95,3,102|186|194|27|147|5|74|194|35|76|44,0
297,189,4,147|190|172|132|76|40|171|158,0
121,96,3,20|139|129|198|109|31|91|18|135|135|172|68|63|15,0
378,151,3,58|6|170,0
159,169,1,103,1
95,24,8,178|57|29|55|31|38,1
344,109,8,42|89|139|83|109,1
261,86,1,55,1
187,152,10,91|50,0
162,79,7,163|170|107|42|119|29|5|127|104|152|69|171,1
211,20,6,56|10|179|125|33|131|158|56|131|133|115|128,0
492,197,2,9|192|110|108|30|159|68|19|198|39|4|16,0
227,103,1,31|196|59|95|4,1
66,146,1,158|101|10|19|110|85|2|187|147|101|198|195|195|52|177,0
253,33,6,83|172|173|78|66|107|183,1
489,142,3,81|79|113|41|143,0
341,102,9,102|72|81|70|61|144|93|94|131|73|21,0
427,54,5,75|64|154|4,1
277,25,7,59|79|39|74|174|190|191|59|122|39|155|97|155|136|192,1
264,33,6,104|157,0
89,70,8,104,1
133,189,4,68|55,1
177,56,6,39|84|78|197|68,0
164,18,9,6|59|152|120|199|71|186|9|101|160,0
266,7,7,155|183|107|190|39|97|25|161|155|174|161|79,0
247,19,5,185|4|19|54|139|26|3|139|162|154|163|163|120|108,1
429,151,3,171|9|132|90|93,0
133,171,1,35|44|169|171|171|86|146,1
164,11,10,75|101|10|31|154|71|122,0
283,97,7,134|194|2|157|100|194|116|168|34|29|186|106|112,0
85,61,8,34|186|189|24|71|113|77|145|53,0
30,37,9,102|103|59|52|14|133|76|24|80|188|53|179|52,0
93,25,7,107|98|98|39|155|25|155|192|161,0
228,52,4,198|43|198|52|166|198|168|200,1
164,72,5,91|62|39|111|180|172|51|96|142|123|14,1
59,131,6,78|114,0
48,178,10,140|45|180|63|199|66|194|144|140|63|180|11,1
272,51,2,78|140|53|62|126|66|78|49|70|139,0
267,4,5,54|194|60|105|25|182,0
176,12,8,61|88|176|127|61|1|13|61|88|1|14,0
15,102,9,102|94,1
315,90,5,108|175|4|4|19|113|143|46|29|164|154|123,1
11,38,3,95|95|38|142|31|110|153|142|147|31|38|77|95|38,0
487,118,3,122|60|139|8|15|146|124|9|180|1,0
495,190,7,152|49|98|175|88,0
394,105,8,87|127|180|124|200|166|16|79|77,1
382,71,2,58|21|153,0
308,184,5,7|6|81|150|17|59|53|80|198|67|42|25|40,0
211,100,9,117|63|166|62|28|148|86|20|138|43|174|167|74,0
327,14,8,35|104|146|190|58,0
1,14,8,159|12|13|42|1|172|12|88|159|111|41|70|88|111|61,0
444,98,7,107,1
287,167,2,11|20|178|23|134|184|138|153|53|166|84|13|74|70|105,0
214,66,10,62|173|74|9|30|162|175|43|121|115|27,0
484,170,2,48|115,1
5,60,10,63|11|66|178|23|23|180|144|66|178|180|66,1
154,120,5,199|80|38,1
196,112,6,125|130|131|114|158|112|133|28|33|115,1
278,175,5,108|139|182|185|90,1
209,184,5,78|48|196|106|28|14|171|187,1
50,40,2,154|31|181|186|146|22|14|12|139|170|127|53,0
379,179,6,94|65|185|140|39|192|12|118|39|133|83,0
219,77,3,2|41|139|108|68|97|168|115|12|10|97|81|171|117|152,0
293,125,6,56|133|133|128|179|115|10|125|131|16|16,1
137,196,4,76|43|87|166|62|65|21|187|198|193|87|166|200|166,1
364,90,5,175|69|108|53|69|64|4|162|29|69|30|29|69,0
191,102,9,47|46|68|8|164|172|77|168|155|161|161|115|23|185|122,0
94,81,5,4|184|175,1
496,111,8,24|106|70|24|1|105|106|127|173|70,1
415,170,2,156,1
469,157,6,137|84|175|24|51|20|141|47|64|168,1
11,46,5,110|71|33|80|113|162|74|155|126|59|183|87|31|193,0
457,190,7,121|129|129|129|107|136|121|2|2|192|190|122|48,1
391,66,10,64,0
254,104,8,28|106|178|76|10|194,1
308,64,5,59|49|100|22|129|152|191|66|58|110|139|199|6|48|53,0
437,7,7,129|25|161|59|107|136|122|79|97|98|2|155|25,1
41,200,4,4|129|151|96|166|75,0
273,53,5,182|26|29|182|72|3|54|164|69|19|143,1
98,121,7,41|34|41|91|18|81|171,0
384,157,6,164|60|147|183|100|18|75|82|188|189,0
219,83,9,134|142|151|99|7|21|29|93|123|161|47|158|134,0
152,178,10,164|63|155|18|55|28|99|60|40|76|173|112|165|183,0
452,182,5,117|187|181|115|30|85|143|113|70|69|12|58|134|49|199,0
42,167,2,167|101|51|99|57|99|119|51|57|177|82|51|167|167,0
496,115,6,173|166|177|68|146,0
3,133,6,157|28|112,0
197,149,1,103|35,1
198,108,5,63|169,0
457,79,7,50|113|162|79|180|122|15|148|115,0
151,123,5,90|100|95|62|117|46|101|25|95,0
348,150,9,47,0
137,31,3,117|157,0
370,149,1,98|103|34|190|78|77|13|176|48|198|100,1
438,161,7,189|79|188|175|171|138|135|107|5|78|147|163|112,0
355,102,9,71|35|112|129|161|195|15|50|61|50|166|28|6|173,0
167,101,2,199|85|112|104|103|185|162|51,0
178,86,1,169|149|55,1
69,104,8,142|60|40|112|7|67|111|55|119|93|160|37|12|106,0
47,116,1,9|116|35|35|146|169|68|103|149|35|35|146|35|146|103,1
473,46,5,143,1
284,177,2,177|101|167|101|156|117|101,1
376,184,5,21|6|15|119|189|102|90|18|136|12,0
421,57,2,57|181|40,0
25,121,7,121|107|25|59|121|39,1
394,21,4,128|63,0
109,48,7,116|187|91|78|108|168|142|16|92|148|45,0
495,17,2,181|73|117|156|170|170|73|197|17,1
247,91,9,56|49|128|66|115|147|160|37|181,1
83,41,8,58|12|61|1|70|88|85|42|111|104|41|61|13|173,1
338,136,7,7|192|192|191|155|7|98|59|59|183,0
407,26,5,110|93|41|166,0
177,129,7,130|105|75|123|10|39|158|77|87|109|88|152|50|152|42,0
443,47,9,18|102|83|94|83|37|89|37|145,1
269,152,10,199|199|80|45|178,1
490,83,9,106|105|21|83|83|167|25|169|83|131|112,0
113,8,3,125|4|5|87|50|185|24|177|44|24|55|29,0
201,108,5,39,0
47,62,4,67|45|82|5|99,1
